uuid,group,qid,correct,time
592c0dc1836547219e897714,A,Q3,true,12036
592c0dc1836547219e897714,A,Q2,true,6982
592c0dc1836547219e897714,A,Q1,false,11125
592c0dc1836547219e897714,A,Q6,false,19328
592c0dc1836547219e897714,A,Q4,true,11784
592c0dc1836547219e897714,A,Q5,true,11731
592c0e1c836547219e897716,B,Q3,true,87432
592c0e1c836547219e897716,B,Q1,false,18486
592c0e1c836547219e897716,B,Q5,true,72630
592c0e1c836547219e897716,B,Q6,true,35313
592c0e1c836547219e897716,B,Q4,true,20699
592c0e3a836547219e897717,B,Q1,false,80676
592c0e3a836547219e897717,B,Q2,true,19318
592c0e3a836547219e897717,B,Q3,true,34984
592c0e3a836547219e897717,B,Q4,true,22668
592c0e3a836547219e897717,B,Q5,true,31591
592c0e3a836547219e897717,B,Q6,true,12397
592c10b6836547219e897719,A,Q2,false,22846
592c10b6836547219e897719,A,Q3,true,26740
592c10b6836547219e897719,A,Q1,true,101472
592c10b6836547219e897719,A,Q4,true,32624
592c10b6836547219e897719,A,Q5,true,13881
592c10b6836547219e897719,A,Q6,true,18067
592c162f836547219e89771d,A,Q2,true,13927
592c162f836547219e89771d,A,Q3,true,26229
592c162f836547219e89771d,A,Q1,false,13279
592c162f836547219e89771d,A,Q6,true,15647
592c162f836547219e89771d,A,Q5,true,15455
592c162f836547219e89771d,A,Q4,true,32079
592c2ee3836547219e897724,B,Q1,false,27903
592c2ee3836547219e897724,B,Q3,true,17439
592c2ee3836547219e897724,B,Q2,true,25663
592c2ee3836547219e897724,B,Q5,true,31174
592c2ee3836547219e897724,B,Q6,true,29821
592c2ee3836547219e897724,B,Q4,true,27694
592c36d0d78c9a362ea2e2e6,A,Q1,false,40624
592c36d0d78c9a362ea2e2e6,A,Q3,false,22871
592c36d0d78c9a362ea2e2e6,A,Q2,true,12526
592c36d0d78c9a362ea2e2e6,A,Q6,false,14576
592c36d0d78c9a362ea2e2e6,A,Q4,true,23576
592c36d0d78c9a362ea2e2e6,A,Q5,true,39479
592c4b7ed78c9a362ea2e2e7,B,Q1,false,11935
592c4b7ed78c9a362ea2e2e7,B,Q3,true,10756
592c4b7ed78c9a362ea2e2e7,B,Q2,true,9122
592c4b7ed78c9a362ea2e2e7,B,Q5,true,12147
592c4b7ed78c9a362ea2e2e7,B,Q4,true,9298
592c4b7ed78c9a362ea2e2e7,B,Q6,true,8436
592c4c8bd78c9a362ea2e2e8,B,Q1,true,111397
592c4c8bd78c9a362ea2e2e8,B,Q2,true,25921
592c4c8bd78c9a362ea2e2e8,B,Q3,true,29504
592c4c8bd78c9a362ea2e2e8,B,Q6,true,22831
592c4c8bd78c9a362ea2e2e8,B,Q5,true,45488
592c4c8bd78c9a362ea2e2e8,B,Q4,true,58384
592c5f4545e6163b450c914d,A,Q1,false,17860
592c5f4545e6163b450c914d,A,Q3,true,14960
592c5f4545e6163b450c914d,A,Q2,true,11387
592c5f4545e6163b450c914d,A,Q4,true,30494
592c5f4545e6163b450c914d,A,Q5,false,18376
592c5f4545e6163b450c914d,A,Q6,true,12543
592c60ca45e6163b450c914e,A,Q1,false,101039
592c60ca45e6163b450c914e,A,Q2,false,1777
592c60ca45e6163b450c914e,A,Q3,true,3832
592c60ca45e6163b450c914e,A,Q4,false,1307
592c60ca45e6163b450c914e,A,Q5,false,1753
592c60ca45e6163b450c914e,A,Q6,false,2374
592cb63645e6163b450c9150,B,Q2,true,13948
592cb63645e6163b450c9150,B,Q1,false,15486
592cb63645e6163b450c9150,B,Q3,true,21126
592cb63645e6163b450c9150,B,Q6,true,14448
592cb63645e6163b450c9150,B,Q5,true,14684
592cb63645e6163b450c9150,B,Q4,false,21050
592d10e045e6163b450c9151,A,Q3,false,46088
592d10e045e6163b450c9151,A,Q2,true,19759
592d10e045e6163b450c9151,A,Q1,true,57819
592d10e045e6163b450c9151,A,Q6,true,15882
592d10e045e6163b450c9151,A,Q4,true,21635
592d10e045e6163b450c9151,A,Q5,true,37362
592d122a45e6163b450c9152,A,Q1,true,35972
592d122a45e6163b450c9152,A,Q2,false,12549
592d122a45e6163b450c9152,A,Q3,true,28999
592d122a45e6163b450c9152,A,Q6,false,13417
592d122a45e6163b450c9152,A,Q5,true,15196
592d122a45e6163b450c9152,A,Q4,true,12577
592d33ad45e6163b450c9155,B,Q3,true,37336
592d33ad45e6163b450c9155,B,Q2,false,26859
592d33ad45e6163b450c9155,B,Q1,true,23225
592d33ad45e6163b450c9155,B,Q4,true,14584
592d33ad45e6163b450c9155,B,Q5,false,38234
592d33ad45e6163b450c9155,B,Q6,true,12214
592d348245e6163b450c9156,B,Q3,true,18079
592d348245e6163b450c9156,B,Q1,true,28115
592d348245e6163b450c9156,B,Q2,true,17158
592d348245e6163b450c9156,B,Q5,true,32664
592d348245e6163b450c9156,B,Q4,true,28106
592d348245e6163b450c9156,B,Q6,true,15410
592d3dd745e6163b450c9157,A,Q3,true,42123
592d3dd745e6163b450c9157,A,Q1,true,31979
592d3dd745e6163b450c9157,A,Q2,true,32027
592d3dd745e6163b450c9157,A,Q5,true,139439
592d3dd745e6163b450c9157,A,Q6,true,464091
592d3dd745e6163b450c9157,A,Q4,true,23843
592d4a9945e6163b450c9158,B,Q2,true,19122
592d4a9945e6163b450c9158,B,Q1,true,43820
592d4a9945e6163b450c9158,B,Q3,true,14976
592d4a9945e6163b450c9158,B,Q5,true,19120
592d4a9945e6163b450c9158,B,Q4,true,18370
592d4a9945e6163b450c9158,B,Q6,true,15725
592d5e4445e6163b450c915b,A,Q2,true,64520
592d5e4445e6163b450c915b,A,Q1,true,83204
592d5e4445e6163b450c915b,A,Q3,true,35612
592d5e4445e6163b450c915b,A,Q4,true,23089
592d5e4445e6163b450c915b,A,Q5,true,44407
592d5e4445e6163b450c915b,A,Q6,false,28643
592d5e5345e6163b450c915c,A,Q1,false,23888
592d5e5345e6163b450c915c,A,Q2,false,76690
592d5e5345e6163b450c915c,A,Q3,true,31179
592d5e5345e6163b450c915c,A,Q5,true,26842
592d5e5345e6163b450c915c,A,Q4,true,22016
592d5e5345e6163b450c915c,A,Q6,false,12146
592d5f6c45e6163b450c915d,A,Q2,true,16048
592d5f6c45e6163b450c915d,A,Q3,true,31218
592d5f6c45e6163b450c915d,A,Q1,true,43163
592d5f6c45e6163b450c915d,A,Q4,true,19088
592d5f6c45e6163b450c915d,A,Q5,true,25988
592d5f6c45e6163b450c915d,A,Q6,true,13662
592d602e45e6163b450c915f,A,Q3,true,24288
592d602e45e6163b450c915f,A,Q2,false,15569
592d602e45e6163b450c915f,A,Q1,false,59871
592d602e45e6163b450c915f,A,Q4,true,13274
592d602e45e6163b450c915f,A,Q5,true,25378
592d602e45e6163b450c915f,A,Q6,false,20686
592d641845e6163b450c9164,B,Q2,true,30393
592d641845e6163b450c9164,B,Q1,false,14614
592d641845e6163b450c9164,B,Q3,true,16252
592d641845e6163b450c9164,B,Q4,true,33801
592d641845e6163b450c9164,B,Q5,true,21863
592d641845e6163b450c9164,B,Q6,true,14833
592d660e45e6163b450c9165,B,Q2,true,41233
592d660e45e6163b450c9165,B,Q1,false,55352
592d660e45e6163b450c9165,B,Q3,true,23793
592d660e45e6163b450c9165,B,Q4,true,14608
592d660e45e6163b450c9165,B,Q5,true,44662
592d660e45e6163b450c9165,B,Q6,true,20897
592d6add45e6163b450c9168,B,Q1,true,38745
592d6add45e6163b450c9168,B,Q3,true,38957
592d6add45e6163b450c9168,B,Q2,true,12345
592d6add45e6163b450c9168,B,Q4,true,57627
592d6add45e6163b450c9168,B,Q6,true,24475
592d6add45e6163b450c9168,B,Q5,true,26597
592d6f2f45e6163b450c916a,B,Q1,true,61258
592d6f2f45e6163b450c916a,B,Q3,true,27663
592d6f2f45e6163b450c916a,B,Q2,true,70306
592d6f2f45e6163b450c916a,B,Q5,true,31873
592d6f2f45e6163b450c916a,B,Q4,true,22367
592d6f2f45e6163b450c916a,B,Q6,true,30426
592d6f8445e6163b450c916b,B,Q1,false,20620
592d6f8445e6163b450c916b,B,Q3,true,18179
592d6f8445e6163b450c916b,B,Q6,true,16750
592d6f8445e6163b450c916b,B,Q4,true,18820
592d6f8445e6163b450c916b,B,Q5,true,27935
592d738445e6163b450c916d,A,Q1,true,38934
592d738445e6163b450c916d,A,Q3,true,108362
592d738445e6163b450c916d,A,Q2,false,12686
592d738445e6163b450c916d,A,Q5,true,30326
592d738445e6163b450c916d,A,Q4,true,14404
592d738445e6163b450c916d,A,Q6,false,11215
592d8e3345e6163b450c916e,A,Q2,true,29058
592d8e3345e6163b450c916e,A,Q1,false,14046
